,kepoi_name,koi_prad,koi_insol,koi_score,size_category
239,K00897.01,13.12,1183.18,1.0,Gas-Giant
238,K00896.02,2.96,106.44,1.0,super-earth-like
237,K00896.01,4.14,30.14,1.0,neptune-like
5216,K03353.01,1.7,48.88,1.0,super-earth-like
5214,K01837.02,1.06,615.67,1.0,earth-like
5207,K03497.01,0.8,1.38,1.0,earth-like
270,K00929.01,9.66,301.54,1.0,Gas-Giant
268,K00910.01,2.68,123.33,1.0,super-earth-like
266,K00908.01,10.6,431.02,1.0,Gas-Giant
265,K00907.04,2.64,3.97,1.0,super-earth-like
264,K00124.02,3.09,71.97,1.0,neptune-like
263,K00907.03,1.36,227.24,1.0,earth-like
262,K00907.02,3.14,19.55,1.0,neptune-like
261,K00907.01,2.72,43.57,1.0,super-earth-like
259,K00906.02,2.43,26.49,1.0,super-earth-like
258,K00906.01,2.47,88.23,1.0,super-earth-like
255,K00904.04,1.62,66.47,1.0,super-earth-like
254,K00904.03,1.85,3.49,1.0,super-earth-like
5168,K03345.01,1.54,33.43,1.0,super-earth-like
5152,K03417.01,3.26,7.02,1.0,neptune-like
5150,K03415.01,1.77,137.91,1.0,super-earth-like
5126,K03412.01,3.65,97.43,1.0,neptune-like
5087,K01830.02,3.56,1.05,1.0,neptune-like
5081,K03470.02,2.0,46.8,1.0,super-earth-like
298,K00934.01,4.09,248.57,1.0,neptune-like
295,K00940.01,3.18,89.25,1.0,neptune-like
294,K00939.04,2.3,152.75,1.0,super-earth-like
293,K00939.03,1.57,1893.42,1.0,super-earth-like
292,K00939.02,2.06,341.48,1.0,super-earth-like
291,K00939.01,2.11,705.93,1.0,super-earth-like
289,K00926.01,3.82,621.92,1.0,neptune-like
286,K00923.01,3.13,219.95,1.0,neptune-like
284,K00922.01,2.94,204.1,1.0,super-earth-like
283,K00921.03,1.7,191.78,1.0,super-earth-like
282,K00921.02,2.95,23.77,1.0,super-earth-like
281,K00921.01,2.53,50.6,1.0,super-earth-like
280,K00920.01,2.6,20.48,1.0,super-earth-like
276,K00916.01,3.94,421.03,1.0,neptune-like
317,K00150.02,2.32,19.83,1.0,super-earth-like
314,K01102.03,43.17,93.03,1.0,
313,K01102.02,3.43,287.91,1.0,neptune-like
309,K00938.01,3.12,100.34,1.0,neptune-like
308,K00937.01,2.74,29.62,1.0,super-earth-like
302,K00935.02,5.22,33.82,1.0,neptune-like
301,K00935.01,5.5,87.76,1.0,neptune-like
300,K00934.03,3.05,52.38,1.0,neptune-like
5026,K01650.02,4.35,4.16,1.0,neptune-like
5000,K01905.02,1.04,21.54,1.0,earth-like
4991,K01806.03,2.39,659.25,1.0,super-earth-like
4987,K03456.01,1.08,17.96,1.0,earth-like
4978,K01628.02,1.02,1904.34,1.0,earth-like
4923,K01875.02,1.67,7609.22,1.0,super-earth-like
4806,K03284.01,0.97,1.62,1.0,earth-like
4804,K03280.01,2.58,15.07,1.0,super-earth-like
376,K01052.01,2.54,76.66,1.0,super-earth-like
359,K01108.03,7.62,3354.56,1.0,Gas-Giant
355,K01050.02,1.36,251.77,1.0,earth-like
354,K01050.01,1.41,740.47,1.0,earth-like
